Symbol,PE Ratio,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,EV/EBIT,Earnings Yield,Ent. Value,EV/Sales,EV/EBITDA,P/EBITDA,FCF / EV,P/FCF,PS Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,P/TBV,Div. Yield,Div. Growth,Payout Ratio,Shareh. Yield,Div. ($),Years,Last Div.
PAYC,23.17,11833463932,23.33,5.73,22.16,5.58,17.65,4.24%,11514863932,6.11,14.42,20.17,2.96%,34.70,6.28,7.51,2.12,22.94,33.77,2.88%,7.91,0.71%,25.00%,16.82%,3.66%,1.50,2,0.38
CF,10.38,11647695990,11.00,1.87,5.13,2.13,8.18,10.46%,13279695990,2.24,5.21,4.48,13.24%,6.63,1.96,2.34,0.61,10.90,7.55,15.09%,5.97,2.86%,17.65%,29.67%,9.64%,2.00,3,0.50
YPF,4.60,10846138159,5.70,,1988.92,,5067.77,21.65%,10853766600,0.56,2306.72,3.64,0.00%,24471.70,0.56,1001.80,-0.17,4.62,24488.91,0.00%,1.24,,,,,,,0.14
BAH,15.91,13499197140,15.31,1.05,14.46,1.30,12.06,6.45%,16641950140,1.41,10.43,9.62,5.07%,15.99,1.15,11.16,2.29,19.12,19.71,6.25%,,2.02%,8.33%,32.86%,4.05%,2.20,10,0.55
PSTG,135.92,13736979105,26.46,3.98,18.23,3.62,84.44,0.78%,12483372105,3.94,45.48,60.30,4.22%,26.07,4.34,10.51,1.31,116.95,23.69,3.84%,14.84,,,,-3.05%,,0,0.00
VIV,16.99,13859304296,12.58,0.23,4.12,0.27,11.07,5.94%,16239442816,1.96,4.19,4.84,11.40%,7.49,1.67,1.17,0.98,19.73,8.77,13.35%,3.92,5.34%,-8.29%,82.57%,6.00%,0.45,0,0.02
ARCC,8.18,13669045630,9.02,4.18,,8.12,11.50,11.13%,26568045630,8.89,11.50,,-8.01%,,4.57,1.02,3.95,17.46,,-15.57%,1.02,9.68%,,78.72%,1.09%,1.92,0,0.48
CHWY,35.79,13472197444,59.93,1.06,22.59,1.05,88.19,2.92%,13377937444,1.13,44.71,71.08,3.38%,29.77,1.14,51.53,0.36,34.06,29.56,3.36%,115.06,,,,0.24%,,0,0.00
KIM,35.23,13165293125,28.26,6.19,13.09,9.90,28.30,2.85%,21053937125,10.34,15.62,10.71,2.85%,21.96,6.46,1.24,2.90,56.04,35.12,4.55%,1.29,5.06%,-4.85%,181.82%,-3.70%,1.00,0,0.25
JBHT,24.16,13435574760,20.98,1.07,9.06,1.18,17.73,4.25%,14866293760,1.23,8.75,8.44,5.44%,16.61,1.11,3.35,1.44,26.04,18.38,6.02%,3.55,1.31%,2.37%,31.65%,2.93%,1.76,10,0.44
RCI,10.52,12975162879,4.51,0.60,3.20,2.15,14.11,9.28%,46334907051,3.24,7.04,2.09,2.73%,10.24,0.91,1.75,0.43,38.48,36.57,9.76%,,6.08%,-3.42%,64.23%,0.28%,1.43,0,0.35
PNR,21.64,13384016100,16.84,3.20,17.46,3.56,18.47,4.67%,14913316100,3.65,16.18,13.17,4.65%,19.32,3.28,3.76,1.34,23.85,21.52,5.18%,,1.24%,6.67%,26.75%,0.75%,1.00,48,0.25
BSS,,,,,,,,,,,,35.85,,,,,,,,,,,,,,,0,0.00
SNAP,,13375875191,21.66,2.15,32.35,2.29,,-5.22%,14243492191,2.66,,,1.54%,61.17,2.49,5.46,496.06,,65.14,1.63%,19.86,,,,-2.89%,,0,0.00
GLPI,16.47,12992730075,15.37,7.91,12.11,12.53,17.83,6.04%,20571736075,13.43,14.42,9.56,1.67%,37.81,8.48,3.04,8.08,26.22,59.86,2.65%,3.13,6.48%,3.40%,105.98%,3.64%,3.04,0,0.76
LINE,,13443443661,213.20,2.43,19.12,3.63,,-4.94%,20084443661,3.76,36.32,12.15,0.09%,707.55,2.52,1.56,,,1057.08,0.14%,3.17,2.77%,,,-15.14%,1.44,1,0.53
TPR,18.49,13195136100,12.28,1.87,13.47,2.31,15.39,6.03%,16298736100,2.41,12.42,8.74,5.26%,15.39,1.95,9.87,0.90,20.48,19.01,6.50%,,2.19%,3.70%,40.76%,5.09%,1.40,4,0.35
CG,13.17,13180297470,8.49,2.90,,4.53,14.25,7.74%,20579697470,3.79,12.64,,-4.07%,,2.43,2.35,0.92,20.17,,-6.35%,2.65,3.82%,,50.54%,2.05%,1.40,3,0.35
RPM,19.98,12821443800,16.67,1.67,16.02,1.95,17.02,5.02%,14973648800,2.05,14.06,11.91,3.78%,22.68,1.76,4.79,2.27,23.27,26.48,4.41%,15.90,1.99%,10.56%,40.85%,2.15%,2.04,52,0.51
AVY,18.74,12919627260,16.31,1.44,13.76,1.75,14.71,5.46%,15742727260,1.80,11.39,9.09,4.44%,18.47,1.48,5.59,1.81,22.33,22.50,5.42%,,2.12%,8.64%,40.32%,2.58%,3.52,10,0.88
BSY,57.56,12070832400,35.03,8.12,27.73,9.03,42.67,1.94%,13433461400,9.93,35.40,35.26,3.14%,28.66,8.92,11.60,2.22,57.39,31.89,3.49%,,0.67%,19.05%,38.69%,0.31%,0.28,2,0.07
TWLO,,13202841000,19.64,2.69,18.43,2.43,,-0.83%,11928589000,2.68,101.63,79.54,5.51%,20.08,2.96,1.66,44.96,,18.14,4.98%,5.33,,,,9.49%,,0,0.00
MAS,15.99,12724518240,13.80,1.63,11.84,1.96,12.63,6.46%,15261518240,1.95,11.24,8.37,5.94%,14.03,1.63,,1.28,18.57,16.83,7.13%,,2.01%,3.06%,32.98%,5.92%,1.24,10,0.31
MDB,,12989220123,49.35,5.57,86.48,4.58,,-0.99%,10689143123,5.33,,,1.13%,107.67,6.47,4.67,1.67,,88.60,0.93%,4.83,,,,-4.64%,,0,0.00
UNM,7.82,13032074160,8.03,0.96,8.61,1.22,6.77,13.65%,16609074160,1.29,6.47,5.06,8.35%,9.39,1.01,1.19,2.50,9.34,11.97,10.65%,1.23,2.28%,14.04%,17.76%,8.64%,1.68,10,0.42
AFRM,,13130364542,117.61,3.64,16.71,5.23,,-1.52%,18857193542,6.73,1658.65,,3.25%,21.42,4.69,4.71,,,30.76,4.67%,5.81,,,,-12.23%,,0,0.00
DT,26.92,12901985000,28.59,6.71,30.12,6.22,64.08,3.74%,11969489000,7.32,49.39,63.38,3.39%,31.75,7.89,5.05,0.90,24.82,29.46,3.15%,10.79,,,,-1.41%,,0,0.00
BALL,3.53,12972491260,12.83,1.05,112.80,1.44,4.00,30.90%,17760491260,1.51,3.51,7.19,-2.08%,,1.10,2.21,1.36,4.43,,-2.84%,21.24,1.74%,,6.15%,4.56%,0.80,0,0.20
DOC,50.55,12712700710,81.37,4.51,11.88,7.65,40.82,1.91%,21551664710,7.98,13.60,8.91,4.64%,12.73,4.71,1.51,4.91,88.92,21.57,7.86%,1.73,6.66%,,337.44%,-16.90%,1.21,0,0.10
HOLX,18.08,12814912900,12.90,3.04,10.22,3.18,12.77,5.81%,13382612900,3.31,9.97,10.02,8.37%,11.43,3.17,2.68,1.28,17.99,11.94,8.75%,23.01,,,,3.37%,,0,0.00
ELS,32.28,12120377630,31.93,7.63,20.31,9.63,30.34,3.03%,15300437630,10.03,21.44,17.49,2.31%,34.23,7.94,6.96,4.58,41.69,43.21,2.92%,7.45,3.23%,7.01%,105.27%,2.60%,2.06,10,0.52
BBY,13.66,12443351900,9.03,0.30,5.93,0.36,11.05,7.45%,14918351900,0.36,6.73,4.75,9.33%,8.94,0.30,4.43,1.19,16.09,10.72,11.19%,6.83,6.36%,1.89%,88.79%,7.37%,3.80,7,0.95
IEX,24.99,12541076041,20.00,3.62,18.77,4.00,20.29,4.03%,13880476041,4.25,16.14,14.22,4.34%,20.80,3.84,3.30,1.51,27.49,23.02,4.81%,,1.66%,7.81%,41.57%,1.50%,2.76,10,0.69
UTHR,11.44,12669731620,10.07,3.98,9.55,3.04,6.13,9.43%,9702731620,3.37,5.86,8.33,11.14%,11.72,4.40,1.97,1.43,8.12,8.98,8.53%,2.00,,,,2.41%,,0,0.00
REG,32.43,12408993300,31.07,8.18,15.70,11.21,29.29,3.12%,17000670300,11.69,17.43,13.30,3.27%,22.34,8.53,1.85,2.71,43.96,30.61,4.48%,2.05,4.12%,-16.92%,133.65%,5.79%,2.82,10,0.71
TAP.A,11.07,12708975203,9.22,1.08,6.05,1.57,11.33,8.53%,18468275203,1.55,7.99,4.95,7.60%,9.05,1.06,0.97,23.47,17.03,13.15,11.05%,,3.17%,7.19%,35.14%,4.60%,1.88,4,0.47
SJM,,11992131730,11.14,1.34,9.64,2.21,55.97,-2.14%,19882031730,2.26,23.14,5.42,4.10%,14.71,1.36,1.74,2.42,,24.39,6.80%,,3.79%,2.38%,,3.57%,4.32,29,1.08
TAP,11.20,11832335820,9.31,1.01,6.19,1.45,9.72,9.49%,17009135820,1.46,6.78,4.90,7.41%,9.39,1.02,0.90,23.18,15.15,13.49,10.65%,,3.14%,7.19%,35.14%,6.53%,1.88,4,0.47
THC,3.92,12197365830,10.48,0.58,5.96,1.06,4.29,26.24%,22351365830,1.08,3.71,3.02,27.28%,2.00,0.59,2.92,0.85,6.98,3.67,49.99%,,,,,6.60%,,,0.03
WDC,10.28,12269491600,6.97,1.23,14.25,1.73,8.44,9.81%,17344491600,1.11,6.70,4.10,2.55%,27.76,0.79,1.01,490.33,14.41,39.24,3.60%,5.31,,,,-9.85%,,,0.38
