Symbol,PE Ratio,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,EV/EBIT,Earnings Yield,Ent. Value,EV/Sales,EV/EBITDA,P/EBITDA,FCF / EV,P/FCF,PS Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,P/TBV,Div. Yield,Div. Growth,Payout Ratio,Shareh. Yield,Div. ($),Years,Last Div.
GS,12.13,152983269600,10.21,2.62,,14.45,45.90,8.84%,844379269600,15.78,40.62,,-1.62%,,2.86,1.25,5.12,62.43,,-8.95%,1.56,2.45%,9.30%,29.60%,5.97%,12.00,10,3.00
BX,35.54,168127814729,22.19,11.89,48.29,12.61,42.02,1.65%,178238320729,13.47,41.67,,1.92%,49.16,12.71,20.47,1.71,64.20,52.11,2.03%,25.52,3.10%,17.91%,109.12%,1.58%,3.95,1,1.44
AMGN,37.22,151174859050,13.29,4.21,13.16,5.55,25.67,2.71%,199300859050,5.96,14.92,9.98,5.22%,14.54,4.52,25.72,0.95,48.73,19.17,6.88%,,3.38%,5.71%,125.93%,2.83%,9.52,10,2.38
ADBE,22.86,150770091960,16.27,6.16,16.10,6.12,17.95,4.48%,149898091960,6.80,16.17,17.06,6.13%,16.40,6.84,11.51,1.11,22.20,16.31,6.10%,,,,,3.95%,,,0.01
QCOM,14.31,147949620000,11.22,3.33,10.69,3.34,12.60,7.13%,148221620000,3.64,11.00,11.69,8.60%,11.61,3.64,5.50,1.23,14.04,11.63,8.61%,9.97,2.53%,6.25%,36.43%,2.97%,3.40,10,0.85
BKNG,26.03,147492506033,21.15,5.73,17.72,5.76,17.28,3.99%,148409506033,6.25,15.89,18.03,5.32%,18.68,6.21,,1.15,25.23,18.80,5.35%,,0.85%,,22.24%,7.61%,38.40,1,9.60
SONY,17.92,138850359726,0.22,0.01,10.72,0.02,14.32,5.68%,155340749257,1.68,8.35,12.61,5.17%,17.30,1.50,2.61,3.81,19.68,19.35,5.78%,6.50,0.53%,7.95%,10.20%,2.19%,0.12,2,0.06
ETN,28.32,105397614070,22.16,3.91,24.36,4.20,24.11,3.60%,113138614070,4.55,20.16,18.84,3.19%,29.24,4.24,5.70,2.10,29.82,31.39,3.42%,,1.54%,9.66%,43.79%,1.97%,4.16,4,1.04
COP,10.66,105292719300,10.37,1.63,5.23,1.91,8.54,8.78%,123502719300,2.17,5.13,4.36,6.48%,13.15,1.85,1.62,8.24,13.36,15.43,7.60%,1.64,3.75%,-12.85%,39.95%,5.80%,3.12,0,0.78
ARM,133.17,106675338077,51.43,22.11,132.35,21.61,164.46,0.76%,104265338077,28.23,123.68,177.79,0.62%,164.12,28.88,16.62,1.07,129.36,160.41,0.61%,23.00,,,,-1.43%,,0,0.00
TD,13.93,99776832000,7.05,1.69,,5.24,31.05,7.48%,310177641482,8.42,27.31,,-15.50%,,2.71,1.24,0.81,41.58,,-48.19%,1.56,5.20%,0.47%,90.45%,4.38%,2.95,10,0.73
ELV,16.95,98559844320,12.58,0.51,16.97,0.49,10.45,6.07%,95110844320,0.54,9.07,10.00,4.79%,21.65,0.56,2.39,0.78,15.90,20.89,4.62%,104.36,1.57%,8.73%,26.64%,2.87%,6.84,10,1.71
SO,22.28,97494552000,20.07,3.50,9.96,5.84,20.05,4.51%,162701552000,6.09,12.16,7.53,0.58%,103.83,3.65,2.94,2.93,36.97,173.27,0.96%,3.52,3.24%,2.86%,72.18%,2.88%,2.88,10,0.72
SBUX,27.22,96091460500,26.53,2.46,16.61,3.03,22.87,3.66%,118005760500,3.26,17.35,14.94,2.47%,33.03,2.66,,1.99,33.55,40.56,3.03%,,2.88%,7.14%,78.72%,3.09%,2.44,10,0.61
SAN,7.42,94382312500,9.85,2.01,17.59,16.09,91.52,14.12%,754704406086,6.93,69.06,,0.71%,17.59,0.87,0.89,2.62,56.65,140.67,5.68%,1.16,3.28%,1.58%,25.74%,7.21%,0.20,3,0.08
MO,8.55,94392881500,10.17,4.51,10.78,5.56,7.91,11.93%,116191881500,4.84,7.76,7.63,7.41%,10.96,3.93,,4.01,10.32,13.49,9.12%,,7.22%,4.12%,62.38%,11.47%,4.08,56,1.02
RIO,7.76,89356297195,5.40,1.04,5.73,1.11,5.81,12.93%,95000297195,1.77,4.27,4.93,6.32%,14.87,1.67,1.62,,8.22,15.81,6.72%,1.82,7.32%,-7.49%,56.77%,7.32%,4.01,1,2.25
CRWD,,89545360615,93.71,18.51,64.81,17.78,1100.31,-0.02%,86010966615,21.75,279.79,882.00,1.24%,83.85,22.65,27.30,4.41,,80.54,1.19%,42.85,,,,-0.46%,,0,0.00
WM,32.84,89981551800,28.52,3.41,16.69,4.30,27.97,3.05%,113467551800,5.14,17.94,13.68,1.90%,41.68,4.08,10.90,2.78,41.32,52.56,2.40%,,1.46%,7.89%,48.46%,1.83%,3.30,10,0.83
WELL,90.30,91926078090,75.00,9.44,40.74,10.78,68.67,1.04%,104972977090,13.14,33.21,30.69,0.86%,101.30,11.50,2.88,3.09,110.30,115.67,0.99%,2.92,1.89%,7.38%,171.12%,-15.46%,2.68,1,0.67
DUK,20.46,90721703240,18.03,2.87,7.36,5.56,20.67,4.85%,175637703240,5.79,11.77,6.32,0.03%,1890.04,2.99,1.81,2.92,39.90,3659.12,0.05%,3.04,3.58%,1.96%,73.31%,3.45%,4.18,10,1.05
ENB,25.72,91079246050,13.51,2.37,10.11,4.22,19.71,3.85%,162415383916,4.37,13.61,8.58,2.50%,22.47,2.45,1.93,2.11,46.29,40.06,4.45%,7.28,6.35%,-7.57%,163.38%,3.89%,2.66,1,0.67
APP,59.92,92074282680,40.13,16.06,43.87,16.55,50.09,1.71%,94889276680,20.15,40.50,39.72,2.21%,43.97,19.55,84.49,2.11,60.17,45.31,2.27%,,,,,4.08%,0.00,0,0.00
PLD,23.50,87265614780,35.55,10.37,17.77,13.89,24.53,4.27%,116826286780,14.24,15.91,14.73,-1.29%,,10.64,1.62,0.44,31.36,,-1.73%,1.71,4.26%,8.96%,100.86%,4.10%,4.04,10,1.01
ADI,55.63,87165302120,23.00,8.10,22.70,8.55,45.55,1.79%,92010662120,9.85,22.36,21.07,3.46%,27.38,9.33,2.49,0.71,58.84,28.90,3.65%,,2.22%,7.14%,126.52%,2.26%,3.96,10,0.99
KLAC,27.45,86299475540,20.28,7.05,23.66,7.22,22.00,3.72%,88401457540,8.15,20.01,19.08,3.80%,25.67,7.96,24.08,1.10,27.55,26.29,3.90%,69.34,1.03%,14.55%,28.63%,2.74%,6.80,10,1.70
CVS,19.04,87852544000,11.57,0.22,9.65,0.41,17.49,5.25%,159779544000,0.43,17.49,6.97,3.96%,13.89,0.24,1.16,0.70,34.63,25.26,7.20%,,3.86%,4.72%,72.68%,5.99%,2.66,3,0.67
SMFG,14.69,81537044668,9.12,0.02,11.40,,,7.07%,-151223602240,,,,-4.19%,12.86,3.13,0.81,0.75,,,7.78%,0.96,2.57%,8.67%,16.24%,2.49%,0.32,2,0.19
RELX,37.59,89452560648,28.41,,26.54,,26.53,2.70%,97755482243,8.29,26.53,22.16,2.81%,32.59,7.59,19.89,2.79,40.44,35.61,3.07%,,1.14%,-26.58%,43.28%,2.62%,0.56,10,0.56
ORLY,33.27,77406328150,30.02,4.30,25.38,4.73,26.07,3.08%,85196933150,5.10,22.84,20.86,2.40%,37.90,4.63,,2.11,35.70,41.71,2.64%,,,,,3.76%,,0,0.00
MU,16.58,77374958950,7.78,1.90,5.92,2.06,12.65,6.04%,84113958950,2.69,5.72,5.49,0.72%,127.68,2.47,1.59,0.17,18.00,138.80,0.78%,1.65,0.66%,,11.09%,-0.14%,0.46,0,0.12
PBR,9.84,34064033291,1.67,0.09,5.33,0.11,15.00,22.10%,42937249048,0.47,8.66,2.31,9.14%,8.68,0.37,3.43,0.24,5.70,10.94,11.52%,1.29,16.92%,12.46%,416.65%,17.54%,1.91,0,0.12
PBR.A,9.18,65990613098,1.56,0.17,9.03,0.19,11.15,37.71%,73950352589,0.72,8.33,2.31,7.11%,12.54,0.64,4.96,0.22,2.97,14.06,7.97%,1.29,18.17%,-22.04%,419.75%,18.09%,1.93,1,0.24
PH,22.97,71469725045,19.31,3.44,19.26,3.86,18.19,4.42%,80115459045,4.02,15.07,14.34,4.14%,21.53,3.59,5.45,2.41,25.37,24.13,4.64%,,1.16%,10.14%,26.93%,0.98%,6.52,69,1.63
MSTR,,71495312787,3.20,148.90,,163.91,,-1.63%,78703493787,169.82,,,-0.08%,,154.27,3.92,3.09,,,-0.09%,3.91,,,,-16.23%,,0,0.00
APO,17.01,71116036800,14.85,3.75,21.86,3.40,11.01,6.30%,64592036800,2.47,9.31,,5.04%,21.86,2.72,4.12,1.37,14.42,19.86,4.57%,6.17,1.49%,7.56%,25.25%,-1.09%,1.85,2,0.46
MSI,44.93,69250475710,27.95,6.01,28.96,6.38,33.53,2.28%,73572475710,6.80,29.08,21.86,2.90%,32.45,6.40,40.66,1.62,46.65,34.48,3.08%,,1.05%,11.29%,47.24%,1.81%,4.36,10,1.09
AJG,50.62,84186683325,28.37,5.76,32.59,5.65,36.77,1.74%,82684583325,7.16,26.75,23.18,2.95%,34.49,7.29,4.18,1.23,56.53,33.87,2.90%,25.09,0.80%,8.89%,40.00%,-0.83%,2.60,10,0.65
CTAS,46.47,81064278120,42.39,7.33,36.46,7.55,36.04,2.19%,83512692120,8.23,29.78,30.43,2.22%,43.79,7.99,17.65,3.42,46.96,45.12,2.28%,108.18,1.03%,60.96%,48.59%,1.52%,2.09,44,0.10
AON,29.81,80533812840,21.43,4.60,26.54,5.54,23.17,3.30%,96930812840,6.17,19.90,15.85,2.91%,28.59,5.13,13.16,1.74,36.52,34.41,3.50%,,0.73%,9.76%,21.62%,-2.93%,2.70,5,0.68
BP,189.93,68881816940,44.61,,2.52,,9.50,0.55%,100836816940,0.52,3.70,2.60,12.23%,5.59,0.35,1.16,13.74,264.66,8.18,17.90%,2.02,7.24%,9.15%,8189.66%,11.90%,1.90,3,0.48
MDLZ,19.00,84047111750,22.05,2.20,17.12,2.65,16.15,5.49%,101068111750,2.77,13.37,10.87,3.50%,23.75,2.31,3.12,4.08,21.92,28.56,4.21%,,2.85%,10.54%,54.97%,4.63%,1.88,10,0.47
LRCX,19.83,83874344400,16.74,4.52,18.40,4.48,17.01,5.12%,83191249400,5.13,15.82,16.16,4.87%,20.69,5.17,9.52,1.19,19.38,20.52,4.83%,11.89,1.39%,-61.72%,27.97%,3.74%,0.92,0,0.23
GEV,55.90,85263320042,49.03,2.30,33.01,2.08,32.50,1.82%,77058320042,2.21,21.75,36.83,2.24%,49.43,2.44,8.93,2.47,49.65,44.67,2.02%,19.07,0.16%,,8.96%,-1.38%,0.50,1,0.25
BN,150.56,69943887750,11.73,11.72,9.24,49.34,16.14,0.92%,294443887750,3.42,10.53,2.71,-2.67%,,0.81,1.52,,459.35,,-11.24%,,0.77%,13.79%,117.62%,4.03%,0.36,0,0.09
SHW,30.58,81147186400,26.60,3.39,25.73,3.88,24.01,3.30%,92850086400,4.02,18.75,18.34,2.24%,38.95,3.51,20.03,3.55,34.63,44.57,2.57%,,0.96%,16.01%,29.95%,2.60%,3.16,48,0.79
HCA,15.08,81687693370,13.14,1.09,7.77,1.66,12.87,7.05%,124648693370,1.77,9.59,5.89,4.52%,14.49,1.16,,1.10,21.64,22.10,6.90%,,0.86%,9.76%,13.09%,6.15%,2.88,4,0.72
UPS,14.18,81194553409,12.13,0.91,8.02,1.13,12.10,7.12%,100528553409,1.10,8.44,6.98,6.18%,13.07,0.89,4.86,1.28,17.39,16.18,7.65%,8.67,6.79%,0.62%,97.19%,6.68%,6.56,10,1.64
NKE,18.07,80294388848,30.25,1.76,13.72,1.80,15.87,5.61%,81812388848,1.71,13.70,13.89,6.49%,15.12,1.68,5.73,5.74,18.15,15.40,6.61%,5.94,2.94%,8.45%,53.07%,5.95%,1.60,10,0.40
APH,33.47,78171927800,27.75,4.22,27.77,4.42,25.45,3.10%,81722627800,5.37,21.60,20.10,2.64%,36.24,5.14,7.98,2.13,33.71,37.89,2.76%,235.50,1.03%,40.70%,34.38%,-0.78%,0.66,10,0.17
TRI,34.08,74977413912,42.90,9.92,30.52,10.07,34.51,2.95%,76139413912,10.49,32.83,37.36,2.43%,40.53,10.33,6.25,3.64,34.45,41.16,2.47%,1620.59,1.43%,-67.78%,48.74%,4.17%,2.38,0,0.60
MCO,37.40,75762051240,29.64,9.90,26.70,10.52,27.44,2.72%,80534051240,11.36,23.93,23.44,3.13%,30.05,10.69,21.25,2.23,39.13,31.95,3.33%,,0.89%,10.44%,33.39%,1.60%,3.76,10,0.94
BAM,35.73,74873536934,27.00,13.83,40.19,13.85,31.01,2.90%,74948536934,18.83,30.83,,2.49%,40.19,18.81,8.56,4.84,34.57,40.23,2.49%,23.39,3.80%,17.72%,136.72%,-9.26%,1.75,2,0.44
TT,30.23,76297069470,25.68,3.48,24.26,3.62,23.14,3.37%,79477269470,4.01,20.84,20.03,3.50%,27.45,3.85,10.23,2.46,30.95,28.59,3.64%,,1.11%,11.95%,33.45%,2.22%,3.76,10,0.94
RACE,48.09,75880566440,43.48,10.18,35.16,10.18,35.95,2.09%,75863684539,10.91,26.55,33.12,2.14%,46.83,10.91,19.17,4.35,47.85,46.82,2.14%,26.84,0.77%,25.69%,37.34%,1.40%,3.27,3,3.27
RSG,37.13,75404336100,34.77,4.42,19.16,5.16,29.64,2.71%,88043336100,5.49,18.52,15.25,2.42%,35.43,4.70,6.61,3.55,43.10,41.37,2.82%,,0.97%,8.33%,35.75%,1.58%,2.32,0,0.58
EQIX,90.96,75099911220,56.44,8.08,23.11,9.73,63.12,1.09%,90452911220,10.34,26.28,20.76,-0.17%,,8.58,5.55,3.10,110.99,,-0.21%,11.39,2.43%,13.89%,220.71%,0.49%,18.76,8,4.69
DASH,610.86,74420027304,77.46,5.63,34.91,5.25,428.55,0.17%,69425027304,6.48,84.05,252.27,2.60%,41.30,6.94,9.54,0.88,564.43,38.53,2.42%,14.95,,,,-9.49%,,0,0.00
CL,25.93,73816754840,23.96,3.58,17.97,3.92,19.73,3.91%,80669754840,4.01,17.19,15.20,4.40%,20.82,3.67,348.19,1.91,27.92,22.75,4.80%,,2.27%,4.12%,59.26%,3.06%,2.08,62,0.52
NOC,18.28,74683100418,18.24,1.75,17.02,2.03,15.40,5.59%,86820100418,2.12,12.39,10.92,3.02%,28.49,1.82,4.88,3.07,20.80,33.12,3.51%,,1.60%,10.16%,29.08%,4.68%,8.24,10,2.06
FTNT,41.96,72917959550,37.80,10.56,32.29,10.12,34.09,2.39%,69845759550,11.73,32.16,37.95,2.69%,38.80,12.24,48.81,2.88,40.02,37.17,2.58%,63.77,,,,2.07%,,0,0.00
BBVA,6.87,72274403573,6.94,2.65,12.29,,,13.53%,-33904777437,,,,8.39%,,1.96,1.16,2.10,,,-3.94%,1.33,5.52%,15.17%,39.43%,5.46%,0.68,3,0.36
ZTS,26.79,65650785120,23.87,6.97,22.23,7.47,21.03,3.79%,70407785120,7.61,18.31,17.07,3.27%,28.56,7.09,13.76,2.55,28.32,30.63,3.50%,71.12,1.36%,15.49%,36.56%,2.97%,2.00,10,0.50
NTES,14.93,60505098222,1.66,0.51,11.15,0.36,8.93,6.72%,42946254145,2.98,8.36,14.07,11.93%,11.81,4.19,3.19,1.05,10.56,8.38,8.47%,3.35,2.74%,0.70%,204.93%,3.40%,2.58,3,1.22
AZO,24.27,60478265388,22.41,3.11,19.29,3.73,19.37,4.31%,72543099388,3.89,16.79,14.00,2.78%,30.03,3.24,,1.97,27.83,36.03,3.33%,,,,,3.27%,,0,0.00
DEO,15.31,58848541036,13.72,,14.34,,15.52,6.58%,80152541036,3.12,14.17,9.48,3.26%,22.56,2.29,5.87,1.85,20.71,30.72,4.43%,,3.87%,0.25%,256.77%,5.24%,4.14,2,1.62
BDX,33.18,56584258775,13.48,2.54,15.50,3.35,29.51,3.05%,74512258775,3.61,15.34,10.30,3.94%,19.27,2.74,2.24,0.92,43.15,25.38,5.19%,,2.09%,6.99%,70.01%,2.55%,4.16,53,1.04
SCCO,18.92,65366624300,17.61,5.35,14.78,5.64,12.02,5.17%,68860924300,6.02,10.47,10.17,4.93%,19.26,5.72,7.13,1.20,20.39,20.29,5.19%,7.23,2.43%,-47.38%,46.19%,1.49%,1.98,0,0.69
INFY,22.03,70068002684,20.49,3.35,22.26,3.24,15.40,4.52%,67749002684,3.65,13.65,15.21,4.25%,24.31,3.77,6.64,1.98,21.39,23.51,4.11%,7.63,3.45%,36.24%,74.10%,4.52%,0.59,4,0.25
ITW,19.23,66007350000,21.53,4.16,20.12,4.59,15.50,5.28%,72922350000,4.59,14.28,14.08,3.92%,23.11,4.15,19.91,3.36,20.91,25.53,4.33%,,2.67%,7.08%,51.24%,4.52%,6.00,55,1.50
GSK,21.18,67379782622,7.97,2.06,7.94,2.58,17.28,4.78%,84330887842,2.15,17.28,6.31,8.01%,9.97,1.72,3.81,0.35,26.20,12.48,10.03%,,4.59%,6.67%,199.25%,4.70%,1.55,1,0.40
BMO,12.08,64845420720,7.60,1.81,5.82,4.65,21.83,8.74%,166791659299,6.98,18.21,,6.01%,6.47,2.72,1.04,1.46,29.43,16.63,15.46%,1.48,5.04%,1.19%,60.83%,3.84%,4.46,4,1.11
NGG,16.58,64240487324,14.73,4.86,7.14,9.06,19.12,4.57%,119717145508,4.70,13.40,7.06,0.09%,569.86,2.52,1.66,2.08,40.78,1061.97,0.18%,2.04,10.70%,98.53%,1196.28%,10.03%,7.02,2,1.02
CNI,19.68,60101613000,11.87,3.33,12.56,4.15,15.57,5.14%,74986841147,6.33,12.16,9.94,3.00%,26.71,5.08,4.00,1.93,24.28,33.32,3.74%,4.49,2.56%,3.51%,50.44%,6.29%,2.46,10,0.61
BNS,13.43,56466102550,6.26,1.52,4.37,0.08,0.46,7.68%,2936368531,0.12,0.38,,431.47%,4.46,2.35,0.93,1.38,0.68,0.23,22.44%,1.22,6.71%,-4.34%,90.29%,4.18%,3.03,2,0.73
AFL,10.66,55883268775,14.92,3.05,20.64,3.12,8.64,9.74%,57152268775,3.02,8.64,8.44,4.74%,20.64,2.95,2.14,0.93,10.50,21.11,4.84%,2.17,2.21%,18.18%,24.09%,7.88%,2.32,10,0.58
GD,19.83,72428250340,17.69,1.40,17.61,1.53,16.34,5.22%,79493250340,1.67,14.43,12.95,4.02%,22.66,1.52,3.28,1.92,21.02,24.87,4.41%,,2.21%,7.06%,44.02%,1.46%,6.00,34,1.50
TDG,45.78,72809027720,33.08,7.95,33.69,10.42,25.73,2.26%,95399027720,11.70,23.62,17.66,2.09%,36.59,8.93,,3.98,58.03,47.94,2.73%,,5.78%,,264.37%,4.74%,75.00,2,75.00
MMM,17.42,71087505580,16.73,2.95,39.08,3.20,15.47,5.87%,76971505580,3.13,12.14,12.96,0.91%,101.70,2.89,18.50,2.30,18.45,110.12,0.98%,,2.20%,-43.68%,38.64%,2.49%,2.92,67,0.73
ABNB,27.23,70269756568,25.33,5.65,15.55,4.95,18.51,3.77%,61653756568,5.55,18.15,26.91,7.33%,15.55,6.33,8.35,1.88,23.28,13.65,6.43%,9.19,,,,2.57%,,0,0.00
CDNS,65.98,69681242280,37.10,13.17,55.28,13.14,47.23,1.51%,69513395280,14.98,41.70,43.90,1.61%,62.33,15.01,14.91,2.44,65.86,62.18,1.60%,40.95,,,,-0.40%,,0,0.00
CMG,45.29,68132941800,38.72,5.34,32.37,5.58,35.43,2.25%,71220802800,6.30,30.37,29.77,2.15%,44.49,6.02,18.64,1.86,46.42,46.50,2.25%,18.75,,,,0.65%,,0,0.00
CP,25.76,66489702730,14.20,4.12,17.65,5.08,20.60,3.88%,82134306293,8.13,15.36,12.64,2.15%,37.65,6.58,1.94,2.37,31.81,46.51,2.66%,3.75,0.76%,-4.17%,19.67%,0.67%,0.54,0,0.13
WMB,30.39,67363777650,25.65,5.72,13.54,7.98,22.22,3.30%,93947777650,8.94,14.57,12.06,2.44%,29.34,6.41,5.42,2.36,42.28,40.92,3.41%,12.99,3.63%,5.91%,109.89%,3.59%,2.00,7,0.50
SE,156.62,67062805079,43.11,3.17,20.46,2.69,70.72,0.66%,56845476079,3.38,,63.29,5.77%,20.46,3.99,8.01,0.77,127.94,17.34,4.89%,8.08,,,,-1.73%,,0,0.00
ECL,31.43,65697911790,30.42,4.09,23.35,4.51,25.61,3.22%,72581511790,4.61,19.25,18.22,2.52%,35.89,4.17,7.50,2.73,34.36,39.65,2.79%,,1.12%,10.91%,35.28%,1.09%,2.60,7,0.65
CEG,17.46,64958500101,22.00,2.80,,2.99,13.80,5.77%,69412500101,2.95,8.98,9.33,-7.25%,,2.76,4.92,3.63,18.51,,-7.75%,5.16,0.76%,20.59%,13.05%,3.52%,1.55,3,0.39
SNPS,29.64,61875831600,24.77,8.56,43.35,8.12,26.94,3.41%,58731499600,9.67,22.95,42.87,2.22%,47.46,10.19,6.65,6.13,27.84,45.04,2.11%,10.89,,,,-0.55%,,0,0.00
EPD,10.76,62697015000,10.00,1.05,7.73,1.56,12.74,9.41%,93221015000,1.66,9.80,6.63,3.83%,17.56,1.12,2.18,2.84,15.81,26.11,5.70%,3.30,7.39%,4.43%,79.49%,7.59%,2.14,10,0.54
COF,14.12,62498908800,10.17,1.49,3.44,1.55,10.96,7.11%,64819908800,2.37,7.08,,26.16%,3.69,2.28,1.03,1.09,14.58,3.82,27.13%,1.54,1.48%,,20.71%,1.29%,2.40,0,0.60
MAR,26.76,61386149160,21.70,2.31,22.33,2.87,19.82,3.87%,76231149160,3.04,17.57,14.42,2.62%,30.71,2.45,,1.36,32.10,38.13,3.26%,,1.13%,21.15%,30.25%,6.51%,2.52,3,0.63
EQNR,7.20,61196063103,6.55,0.60,3.04,0.62,1.97,14.39%,63968063103,0.62,1.51,1.62,12.40%,7.71,0.59,1.45,3.57,7.26,8.06,12.96%,1.67,10.03%,-33.46%,72.75%,15.79%,2.26,0,0.27
PNC,11.04,60021423750,9.78,2.59,7.62,3.26,10.51,9.21%,75443423750,3.50,10.14,,10.44%,7.62,2.78,1.10,1.43,13.65,9.57,13.13%,1.59,4.21%,3.23%,46.58%,4.45%,6.40,10,1.60
PYPL,15.33,60526771770,11.90,1.80,8.12,1.57,9.87,6.85%,52619771770,1.65,8.27,9.82,12.86%,8.94,1.90,2.96,0.88,12.69,7.77,11.18%,6.54,,,,6.14%,,0,0.00
WDAY,115.25,59780836404,25.85,6.16,24.29,5.68,86.40,0.88%,55125836404,6.53,51.66,72.56,3.97%,27.31,7.08,6.62,0.91,104.80,25.18,3.66%,11.58,,,,-1.48%,,0,0.00
ROP,38.13,58605363750,27.15,7.49,24.49,8.44,29.66,2.64%,66040163750,9.38,29.18,20.91,3.46%,25.68,8.33,3.11,2.85,42.63,28.94,3.89%,,0.60%,9.95%,23.00%,0.05%,3.30,33,0.83
MFG,9.44,56274642079,9.05,0.02,,,,10.71%,-40581158444,,,,63.19%,,2.18,0.82,0.79,,,-45.57%,0.96,2.96%,4.69%,6.00%,3.00%,0.13,2,0.06
CRH,16.55,56481184829,15.08,1.49,11.32,1.80,13.11,6.18%,68029184829,1.91,9.38,8.37,3.94%,21.05,1.59,2.61,1.71,19.48,25.36,4.75%,6.03,1.60%,-20.83%,26.49%,7.05%,1.33,0,0.37
DELL,12.24,54501365387,8.46,0.52,12.06,0.67,11.22,8.43%,70131365387,0.73,7.48,5.60,2.67%,29.16,0.57,,0.65,15.27,37.52,3.43%,,2.66%,19.61%,32.92%,4.25%,2.10,3,0.53
ET,12.43,54659175045,10.45,0.58,4.75,1.23,13.55,8.04%,114895175045,1.39,8.42,3.80,6.39%,7.44,0.66,1.56,0.69,26.15,15.65,13.43%,2.55,8.08%,3.21%,100.05%,-0.79%,1.29,3,0.33
ITUB,8.55,55408647542,1.15,0.30,4.23,0.44,9.79,12.27%,80991663697,3.17,8.77,,15.43%,4.43,2.17,1.72,1.17,11.91,6.48,22.55%,1.75,8.05%,-5.07%,70.61%,7.97%,0.43,4,0.00
RCL,17.78,52398070655,12.96,2.88,9.95,4.01,16.30,5.49%,72830070655,4.42,12.00,9.15,2.74%,26.24,3.18,6.93,0.72,25.31,36.47,3.81%,8.24,0.88%,,15.54%,-4.06%,1.70,1,0.75
JD,9.96,56267626169,1.54,0.05,7.08,0.03,5.08,10.07%,35542627878,0.22,,8.20,19.68%,8.05,0.35,1.72,1.27,6.27,5.08,12.43%,2.30,2.75%,28.95%,26.63%,10.50%,0.98,1,0.98
MFC,13.92,47352711600,6.56,,2.50,,6.60,7.44%,39046297202,1.49,5.98,7.54,48.47%,2.50,1.81,1.30,0.90,11.08,2.06,39.97%,1.89,4.41%,9.41%,61.04%,7.77%,1.20,10,0.31
WCN,79.81,49279057349,35.60,5.12,22.11,5.97,52.71,1.25%,57488888349,6.45,25.50,20.60,2.05%,41.73,5.52,6.27,1.34,93.09,48.68,2.40%,,0.65%,11.11%,52.72%,0.46%,1.26,10,0.32
MET,11.99,48523870440,7.57,0.64,3.32,0.63,8.50,8.71%,47646870440,0.67,7.54,7.75,30.64%,3.32,0.68,1.77,1.02,11.27,3.26,30.08%,2.72,3.07%,4.81%,36.70%,9.51%,2.18,10,0.55
LNG,15.06,47627223396,17.38,2.37,8.83,3.48,13.77,6.83%,69869223396,4.45,10.03,6.54,4.52%,15.09,3.03,8.36,1.83,21.49,22.14,6.63%,8.51,0.94%,12.65%,14.08%,6.50%,2.00,4,0.50
NWG,443.00,45239365606,7.79,,19.71,,13.10,11.70%,101583543012,5.53,13.10,,1.92%,23.19,2.46,0.89,0.55,19.18,52.07,4.31%,1.19,3.46%,,58.71%,10.04%,0.39,0,0.39
SLB,10.30,43549516500,9.22,1.16,6.60,1.35,8.40,10.24%,50954516500,1.40,5.94,5.28,7.83%,10.91,1.20,2.06,2.86,11.42,12.77,9.16%,13.08,3.50%,8.29%,36.66%,4.03%,1.14,3,0.28
TRV,11.43,55650142150,13.82,1.19,6.13,1.35,9.58,8.98%,62984142150,1.36,9.58,7.64,14.41%,6.13,1.20,2.00,2.85,12.60,6.94,16.31%,2.39,1.73%,5.00%,19.56%,2.18%,4.20,10,1.05
AEP,18.51,57493054785,17.29,2.77,8.45,4.95,21.46,5.16%,102794454785,5.21,12.72,7.03,-1.19%,,2.92,2.13,2.37,34.64,,-2.13%,2.05,3.61%,5.85%,66.67%,1.46%,3.72,10,0.93
CHTR,9.59,47619295560,8.69,0.85,3.30,2.53,11.89,10.67%,142165295560,2.58,6.89,2.43,2.99%,11.19,0.86,3.06,0.37,27.97,33.40,8.94%,,,,,4.34%,,0,0.00
PAYX,29.78,51370440420,26.76,8.63,28.88,8.50,22.20,3.39%,50584040420,9.30,20.67,21.20,3.18%,31.98,9.44,12.48,4.56,29.07,31.49,3.13%,24.95,2.71%,10.11%,81.50%,2.65%,3.92,10,0.98
LYG,11.55,54000315188,10.12,3.66,,7.87,16.56,9.08%,116209741063,2.71,16.56,,-9.49%,,1.26,0.91,2.20,23.70,,-20.42%,1.09,4.39%,10.82%,201.07%,9.92%,0.16,3,0.10
O,55.26,48289291350,35.75,8.75,13.51,13.43,38.10,1.76%,74071323350,14.05,17.07,10.17,1.05%,62.00,9.16,1.24,5.24,87.36,95.10,1.61%,1.76,5.86%,3.32%,323.98%,-18.78%,3.18,21,0.27
REGN,14.30,59272385640,12.54,3.99,13.41,3.57,10.95,7.44%,52964285640,3.73,9.96,12.68,6.96%,16.09,4.17,2.02,0.92,12.00,14.37,6.22%,2.08,0.16%,,2.30%,-1.07%,0.88,0,0.88
APD,15.28,58551233680,19.96,4.69,15.28,5.74,14.36,6.55%,71713833680,5.96,11.10,13.52,-5.07%,,4.87,3.51,7.50,18.69,,-6.21%,3.77,2.73%,1.14%,41.59%,2.66%,7.16,50,1.79
