Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
MS,105386000000,-1.87%,-205035000000,310421000000,,8.48%,12.31%,8.41%,-120.94%,12.50%,,3.40%,1.00%,11.14%,772013,3.30%,0.94%,160000,0.05,5,,,106.58000,9423452,40.68,39.97,51.45,7.95
RTX,5578000000,-1.95%,-37315000000,42893000000,,8.98%,-5.19%,-0.66%,-21.95%,7.90%,7.02%,2.68%,2.90%,3.92%,434075,5.19%,1.68%,25667,0.50,7,5.32,2.12,127.07000,5117886,47.75,54.04,63.09,3.55
NOW,5762000000,1.47%,3484000000,2278000000,34.36%,0.95%,-0.26%,15.03%,2.13%,16.00%,14.45%,6.76%,7.60%,12.00%,417754,9.41%,5.14%,54197,0.59,6,,10.23,783.49000,1686632,44.03,36.92,51.45,6.84
INTU,3849000000,1.74%,-2984000000,6833000000,,-1.55%,6.38%,57.86%,-1.85%,16.60%,16.14%,13.72%,9.40%,22.38%,943242,12.59%,12.94%,166868,0.53,8,,8.84,577.47000,2282598,45.82,42.65,50.44,10.71
TMO,5570000000,-11.43%,-25705000000,31275000000,,-3.56%,-10.43%,11.99%,-15.94%,13.20%,9.98%,9.95%,6.40%,16.76%,343032,8.22%,8.08%,50680,0.44,6,5.00,3.62,427.44000,3367757,29.42,23.98,37.90,16.53
HSBC,267674000000,,23162000000,244512000000,,5.68%,-3.33%,2.92%,13.60%,12.40%,,3.79%,0.80%,8.22%,311655,5.39%,0.50%,108455,0.02,3,,,48.22000,4779970,30.59,42.73,55.46,6.20
PGR,154000000,0.02%,-6739000000,6893000000,,12.06%,0.06%,9.36%,-4.19%,34.60%,,17.49%,8.40%,22.62%,1136833,26.78%,5.62%,127647,0.75,5,,,273.18000,4326044,50.39,57.61,70.66,14.40
RY,85095743784,1.20%,75277773412,9817970372,-1.57%,-22.49%,-51.54%,-13.34%,48.42%,14.10%,,12.31%,0.80%,14.38%,460279,14.02%,0.82%,135042,0.03,2,,,109.95000,1562415,42.73,35.05,51.54,8.53
GS,182092000000,-1.64%,-691396000000,873488000000,,6.98%,3.77%,11.09%,-451.94%,11.20%,,1.56%,0.80%,11.42%,1150796,1.43%,0.86%,290860,0.03,3,,,489.80000,4632427,38.45,38.56,52.84,40.54
HDB,24177468758,,-68764724375,92942193133,,181.10%,319.42%,205.47%,-41.58%,12.60%,,7.22%,1.80%,15.68%,104165,4.66%,1.92%,34986,0.05,2,,,65.03000,2596021,55.21,56.82,53.04,3.18
BX,2176192000,3.35%,-10110506000,12286698000,,12.01%,-0.06%,0.72%,-6.01%,38.30%,,25.80%,6.70%,32.76%,2702751,24.44%,6.92%,567213,0.32,6,,,127.45000,8213713,39.81,35.70,48.03,3.62
DIS,5486000000,-1.11%,-39822000000,45308000000,,-5.76%,-4.99%,-1.18%,-26.22%,5.60%,5.60%,2.01%,2.90%,1.96%,411120,4.61%,0.96%,24956,0.47,7,29.46,1.92,85.23000,14415418,34.25,31.44,40.94,3.08
AMGN,11973000000,-0.50%,-48126000000,60099000000,,21.74%,-6.99%,14.98%,-31.83%,67.20%,11.29%,15.07%,4.50%,112.16%,1193714,9.76%,8.66%,146071,0.37,6,1.56,1.36,281.41000,4676829,34.67,42.82,49.58,7.56
ADBE,7435000000,8.37%,872000000,6563000000,-68.11%,12.05%,60.62%,6.86%,0.58%,47.70%,40.15%,26.66%,22.50%,37.30%,717607,33.72%,19.58%,219838,0.73,7,,8.97,350.05000,5651193,34.06,28.87,38.14,15.17
UBER,9694000000,-21.20%,-282000000,9976000000,,-3.51%,-10.92%,6.08%,-0.19%,66.00%,11.62%,-4.34%,22.00%,-21.34%,1414084,21.35%,-5.08%,316913,0.98,5,,3.70,70.94000,20054969,48.32,49.77,57.03,4.56
UL,8361780860,1.26%,-27536981785,35898762645,,6.23%,8.70%,,-18.65%,30.20%,16.35%,14.75%,7.40%,36.80%,527263,12.58%,8.56%,49844,0.78,6,9.25,,59.91000,3292595,54.86,56.36,58.51,2.39
QCOM,14305000000,-0.39%,-272000000,14577000000,,-2.55%,-5.83%,-1.77%,-0.18%,41.30%,25.80%,29.09%,19.50%,79.52%,830510,24.57%,20.18%,215408,0.75,8,2.85,5.54,134.40000,14622085,38.72,34.22,43.78,9.35
BKNG,16164000000,2.16%,-917000000,17081000000,,14.84%,15.54%,13.45%,-0.62%,-147.00%,71.20%,24.14%,21.00%,-124.18%,976914,46.66%,11.22%,242058,0.85,7,,6.72,4494.64000,412557,46.89,46.64,60.68,172.69
SONY,15441341045,-2.04%,-16490389531,31931730575,,17.48%,-7.68%,21.15%,-11.88%,14.70%,-0.11%,9.33%,3.30%,14.88%,817526,8.72%,3.14%,69842,0.39,6,5.00,1.14,22.92000,8912481,43.67,54.46,60.09,1.29
SPGI,1686000000,0.03%,-10247000000,11933000000,,37.34%,-0.56%,21.17%,-7.37%,11.30%,9.83%,24.76%,6.40%,250.02%,335490,9.37%,11.62%,90956,0.24,8,,4.67,457.76000,1677537,38.58,38.55,51.05,12.35
AMD,5132000000,-1.16%,2920000000,2212000000,5.42%,49.58%,-26.34%,26.42%,2.07%,2.90%,3.41%,17.29%,2.40%,22.76%,920893,2.58%,13.84%,58607,0.38,7,2.59,7.99,88.70000,64053441,40.96,31.97,39.33,1.00
TXN,7580000000,-2.14%,-6016000000,13596000000,,20.65%,21.14%,18.56%,-4.24%,28.10%,18.71%,29.58%,13.60%,52.78%,460029,15.77%,26.94%,141147,0.44,4,1.54,8.02,156.60000,15721579,39.42,34.53,40.79,5.20
TJX,5335000000,0.50%,-7443000000,12778000000,,0.71%,1.88%,2.19%,-5.23%,61.10%,30.38%,17.07%,15.60%,48.40%,154835,22.33%,10.96%,13363,1.81,4,6.32,6.51,127.47000,6368306,62.67,60.51,71.05,4.26
