Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
ASPS,29811000,1.69%,-200733000,230544000,,-1.82%,6.92%,-4.34%,-880.87%,,-4.56%,-18.91%,-24.40%,43.28%,149518,,-19.82%,-33274,1.10,4,,-3.08,0.79100,48883,50.62,45.33,30.80,-1.25
ADVM,155217000,-1.12%,92615000,62602000,69.84%,-19.08%,-3.98%,21.77%,124.36%,-65.10%,-46.07%,-47.04%,-40.50%,-54.84%,8264,-49.87%,-36.94%,-777777,0.00,2,,-6.07,3.33000,132945,35.67,33.69,37.73,-5.99
CODA,22541963,-5.02%,22149518,392445,-11.42%,,,-16.03%,32.07%,7.50%,8.89%,7.36%,7.00%,9.26%,204512,5.69%,8.48%,38146,0.38,5,0.50,12.27,6.15000,29634,40.30,34.53,44.85,0.35
PRPL,29011000,3.63%,-129116000,158127000,,-4.64%,4.83%,34.90%,-187.18%,-217.40%,-38.83%,-10.95%,-28.80%,-207.90%,406564,-51.69%,-27.88%,-81581,1.43,3,4.96,-1.64,0.64050,504884,37.16,38.22,35.96,-0.91
AMTD,78574000,175.88%,-186733000,265307000,,86.02%,1164.54%,,-2839.79%,7.10%,5.33%,13.82%,4.60%,15.84%,135185,-1.38%,11.24%,337815,0.02,3,,1.70,1.03780,13835,39.53,36.73,22.87,-148.08
ATHR,556499000,,556499000,,25.45%,,,,,6.20%,6.33%,5.76%,4.90%,7.70%,79789667,4.85%,5.98%,4640667,0.84,1,5.53,,5.78000,4579969,,,,4.71
ENGS,673537,8.51%,-13686865,14360402,,,,,-20.39%,,83.49%,,-27.60%,,185414,-36.06%,,-72126,0.72,4,2.70,-0.29,4.77070,28133,0.00,0.00,0.00,-0.21
ELPW,1817850,5409.25%,-25728389,27546239,,,,,-49.38%,,-70.21%,,-23.00%,,,-46.04%,,,0.07,0,,-2.25,1.07000,1806,66.88,32.88,0.00,0.62
EPIX,120810296,-7.35%,120505253,305043,-15.14%,0.28%,-18.62%,16.77%,178.60%,-24.60%,-26.15%,-24.09%,-23.90%,-23.46%,,-30.66%,-22.72%,-888869,,1,,,1.52000,47542,43.30,31.58,35.83,-0.69
DLTH,3335000,-21.22%,-159797000,163132000,,-5.00%,-12.40%,-6.10%,-236.60%,-21.70%,-11.35%,0.05%,-9.00%,-0.60%,278750,-10.66%,-0.40%,-19427,1.29,3,2.18,1.67,1.92000,65712,47.02,30.13,29.58,-1.31
ATLX,15537476,-2.60%,5200457,10337019,-73.22%,905.54%,2.05%,47.03%,7.72%,-233.80%,-80.94%,-67.29%,-77.10%,-336.90%,9530,-138.81%,-127.90%,-603446,0.01,1,,-4.54,3.97000,174943,29.36,31.48,38.38,-2.91
OPTT,10026000,-11.22%,7961000,2065000,21.34%,30.09%,-23.23%,8.70%,11.60%,-94.10%,-72.71%,-68.76%,-73.20%,-59.28%,142233,-67.88%,-48.24%,-507163,0.21,4,1.03,-7.12,0.39580,9355898,41.18,45.74,43.59,-0.25
AUID,8471561,1.74%,8230677,240884,-17.30%,-28.61%,7.33%,-37.96%,11.65%,-101.40%,-123.57%,-141.88%,-88.10%,-262.84%,19271,-124.91%,-126.76%,-310391,0.06,2,,-5.07,5.48000,188394,46.92,43.81,39.42,-1.40
SKLZ,311443000,0.10%,175364000,136079000,-11.91%,,0.15%,54.19%,231.86%,-18.40%,-12.68%,-81.90%,-9.50%,4.72%,471991,-12.76%,-41.24%,-165800,0.27,1,,-2.60,4.02000,90319,37.71,35.99,39.78,-2.01
HUHU,4317947,189.54%,-1518943,5836890,,,,,-2.27%,50.00%,23.32%,,18.00%,,226117,24.99%,,31535,1.29,5,21.36,4.48,3.17000,8665,35.54,42.04,0.00,0.08
ESP,28292045,,28292045,,61.90%,,,,38.83%,15.30%,17.72%,5.54%,11.30%,6.56%,296740,12.59%,5.06%,43460,0.77,6,1.84,5.47,25.79000,6627,43.00,45.11,56.14,2.45
ACOG,48564082,-58.84%,47652619,911463,13888.32%,,-24.76%,,72.71%,-156.80%,-30.67%,,-95.50%,,,-27.99%,,,,2,,,4.17000,33373,35.05,40.28,0.00,-2.02
BZFD,38648000,-57.05%,-24092000,62740000,,-23.81%,-71.26%,,-35.41%,-12.70%,-2.13%,-12.73%,-3.80%,-13.74%,310781,-14.05%,-9.50%,-16524,0.71,2,,-2.74,1.73000,156779,35.34,37.82,33.86,-0.91
XCH,24289192,10.75%,13087940,11201252,,,,,800.53%,,,,,,242683,,,-65424,,1,,,1.12000,29247,39.81,36.99,0.00,-0.17
DTI,7094000,12.70%,-69605000,76699000,,40.99%,306.87%,,-97.78%,2.80%,3.32%,,1.60%,,345517,3.04%,,6743,0.80,5,3.42,1.38,1.86000,71755,36.12,30.20,28.67,0.09
VTYX,218297000,-2.19%,207503000,10794000,-13.79%,,-13.69%,,304.45%,-48.20%,-51.22%,-30.78%,-44.30%,-10.54%,,-56.05%,-1935.86%,-1647829,,2,,,0.92810,736145,30.30,30.77,35.55,-1.97
ATPC,2040243,-17.22%,1677463,362780,-61.83%,14.67%,-17.12%,,2.54%,-85.50%,-116.30%,-61.03%,-60.90%,-66.72%,62988,-112.09%,-44.66%,-117642,0.33,0,11.96,24.61,1.32000,264525,58.33,38.59,23.69,-0.63
BOWN,,,,,,,,,,,,,,,,,,,,1,,,7.20000,66322,56.22,47.16,39.56,0.35
LVO,10884000,-35.97%,5684000,5200000,,-42.57%,-39.78%,-19.97%,8.58%,,-47.68%,186.08%,-16.80%,1743.48%,900114,,-41.56%,-75414,2.00,5,51.14,-4.18,0.68380,155865,44.81,39.93,40.26,-0.11
GGR,117148000,-5.76%,-303272000,420420000,,-9.59%,-10.77%,,-492.48%,-53.10%,-22.88%,-17.87%,-15.70%,-58.24%,164187,-23.72%,-10.70%,-64881,0.40,3,6.17,,0.21010,780926,24.06,22.38,23.84,-0.46
ALTO,36211000,10.77%,-78457000,114668000,,21.68%,8.73%,-15.64%,-119.83%,-23.50%,-14.89%,-5.00%,-14.30%,-7.82%,2456127,-15.21%,-4.70%,-153316,2.29,2,18.64,-0.38,0.85600,434496,22.87,30.17,36.55,-0.82
ALOT,4432000,7.11%,-46198000,50630000,,70.80%,80.19%,18.17%,-70.94%,4.20%,6.17%,3.79%,2.60%,4.18%,420589,4.69%,2.76%,10468,1.03,5,2.07,2.42,8.70000,9583,35.18,27.30,34.04,0.50
NCSM,25880000,16.04%,11245000,14635000,250.75%,3.62%,8.30%,-4.53%,16.81%,6.90%,5.59%,-15.29%,4.60%,-13.98%,645067,3.75%,-8.62%,26163,1.12,7,2.30,0.57,25.75010,8111,39.46,50.47,53.04,2.55
ICCM,7564000,-5.56%,7105000,459000,-32.09%,-20.37%,-23.37%,,11.11%,-156.30%,-222.26%,-100.76%,-103.40%,-93.96%,49864,-213.26%,-65.44%,-232091,0.22,3,0.86,-8.33,1.15000,171471,42.34,51.35,49.70,-0.30
BMEA,58648000,-8.32%,49877000,8771000,-70.12%,45.46%,-14.81%,,77.86%,-151.00%,-237.58%,-101.11%,-111.90%,-103.06%,,-238.75%,-53.50%,-1305906,,1,,,1.73000,722712,31.27,28.64,37.41,-3.83
ZYXI,40039000,-1.15%,-33785000,73824000,,28.14%,-3.08%,73.59%,-50.80%,8.70%,5.71%,12.05%,2.40%,20.00%,192354,4.51%,11.84%,2994,1.55,6,2.92,3.11,2.15000,135637,23.82,16.62,26.16,0.09
RIBB,,,,,,,,,,,,,,,,,,,,0,,,10.02000,3445,49.96,0.00,0.00,
STG,107082917,-27.42%,81531342,25551576,-0.58%,-33.62%,-39.44%,-26.68%,339.27%,67.40%,-9.32%,133.83%,15.90%,228.46%,129025,37.65%,13.60%,22177,0.92,4,,0.38,4.79000,676,30.97,37.23,42.18,3.43
QMCO,20603000,8.35%,-124573000,145176000,,11.62%,16.63%,-2.42%,-175.59%,,,137.83%,,16.22%,,,-8.22%,,,2,,,11.08000,807274,41.86,45.61,45.48,-25.76
UEIC,26783000,-6.23%,-19409000,46192000,,-13.05%,-31.63%,-11.20%,-30.03%,-14.90%,-9.23%,-6.10%,-7.50%,-10.12%,102887,-7.68%,-4.90%,-6261,1.23,4,3.35,2.51,4.93000,54213,26.42,21.90,30.66,-1.85
PETS,50101000,-8.98%,48996000,1105000,2.51%,,-32.70%,,72.98%,0.40%,1.45%,9.12%,0.20%,9.64%,860662,0.13%,8.26%,1244,1.61,5,7.70,3.49,3.13000,382982,26.78,34.89,27.30,0.01
LPSN,183237000,12.05%,-343885000,527122000,,-3.16%,-10.48%,21.57%,-508.91%,-834.30%,-25.02%,-21.77%,-19.70%,-260.52%,336718,-39.72%,-15.86%,-144691,0.46,4,,-2.16,0.70630,1209253,35.67,37.99,30.56,-1.51
FDSB,37916000,-16.65%,32636000,5280000,197.94%,,-36.78%,,49.12%,-1.10%,,,-0.20%,,165838,-1.10%,,-15853,0.02,1,,,11.60000,16615,46.39,51.86,0.00,-0.21
GMHS,18820140,49.54%,18132238,687902,16.09%,,72.28%,,21.16%,124.40%,24.36%,,12.30%,,1015642,23.68%,,57681,2.17,4,,7.47,1.20000,185476,34.67,0.00,0.00,0.05
JNVR,2857362,-49.63%,2843429,13933,-43.23%,-78.26%,-79.10%,,3.64%,-65.40%,-72.08%,-58.70%,-57.10%,,53837,-85.43%,,-69918,0.44,1,,49.81,44.97000,3854326,80.68,92.00,79.75,-1.95
GSIT,15298000,-2.61%,5462000,9836000,-73.76%,156.92%,1007.66%,64.97%,9.00%,-37.10%,-33.19%,-29.95%,-27.30%,-27.46%,133696,-32.87%,-23.42%,-86014,0.43,2,2.19,1.50,2.50500,246476,50.23,44.94,44.75,-0.50
RCT,2230354,90.11%,-46450816,48681170,,,,,-70.46%,,287.32%,,-424.60%,,53103,-843.97%,,-86825,2.60,1,,-23.95,1.45000,43972,17.52,0.00,0.00,-0.76
BOTJ,73309000,-0.73%,53961000,19348000,-1.72%,-2.72%,-2.93%,31.08%,84.83%,12.40%,,10.19%,0.80%,12.88%,257303,11.04%,0.80%,45394,0.05,4,,,14.11000,3971,46.29,50.49,53.83,1.75
TCRX,295141000,7.77%,197760000,97381000,88.99%,152.58%,5.35%,81.92%,309.25%,-60.10%,-36.95%,-13.69%,-38.20%,-34.64%,14441,-39.85%,-38.56%,-653841,0.01,2,,-1.38,1.13000,349750,31.02,24.35,34.53,-1.14
IRBT,135562000,6.01%,-86640000,222202000,,72.27%,-3.02%,32.25%,-125.72%,-103.10%,-48.72%,-26.47%,-24.30%,-46.08%,1260349,-36.32%,-15.72%,-268980,1.14,2,4.72,-0.03,2.05000,1155366,25.61,30.00,26.73,-4.92
SUP,40110000,0.07%,-449278000,489388000,,-7.00%,-20.55%,-4.47%,-629.16%,,2.65%,0.96%,-8.90%,187.86%,194976,,-7.02%,-12028,1.45,6,7.97,1.43,2.20000,139224,57.92,51.77,42.62,-4.25
THTX,4340000,10.40%,-46010000,50350000,,-4.11%,-14.86%,-4.16%,-75.24%,,64.55%,-28.52%,-5.90%,51.90%,606222,,-28.10%,-36000,1.42,4,2.83,-7.92,1.33000,185635,39.39,41.00,36.90,-0.08
ASMB,112079000,114.22%,108990000,3089000,-14.79%,-21.87%,31.90%,-24.11%,170.09%,-126.90%,-55.84%,-115.79%,-35.30%,-81.98%,,-202.86%,-50.34%,-550370,,2,,,8.46000,54230,29.98,29.33,33.78,-6.69
UNCY,26142000,-15.61%,25461000,681000,185.82%,30.56%,-14.12%,8.16%,41.71%,,-485.67%,1531.74%,-90.40%,768.42%,,-395.92%,-509.02%,-2701714,,2,,,0.53010,749884,45.49,45.42,41.13,-0.56
IGMS,183954000,-1.46%,138768000,45186000,-53.40%,16.25%,11.55%,25.13%,227.60%,-190.70%,-85.85%,-96.49%,-61.00%,-91.02%,17980,-223.42%,-47.90%,-1314060,0.01,3,,-6.91,1.06000,157515,32.49,27.51,37.72,-3.24
NA,37697572,4.63%,10509781,27187791,19.75%,,740.27%,,16.63%,-104.80%,11.39%,,-23.40%,,258573,-22.93%,,-720937,0.08,2,0.44,-0.33,3.81000,3761,31.76,38.06,26.92,-14.51
MNOV,40359738,-4.06%,40165969,193769,-20.91%,13.66%,-10.26%,,61.81%,-19.70%,-20.87%,-18.53%,-18.60%,-16.46%,,-24.05%,-15.58%,-849965,,1,,,1.27000,3606,36.52,37.04,38.90,-0.23
GCTS,1435000,1.66%,-42012000,43447000,,-20.21%,-45.74%,,-65.97%,,19.66%,,-48.70%,,75438,,,-102306,0.36,3,1.82,-42.56,1.29000,113304,29.84,28.78,0.00,-0.30
MBOT,5519000,18.09%,5408000,111000,-12.82%,-45.35%,-51.95%,-34.25%,9.43%,-234.00%,-320.44%,-162.12%,-175.80%,-130.42%,,-319.28%,-103.10%,-572150,,2,,,1.79000,7758953,57.88,55.47,46.88,-0.73
ZEO,4330062,19.64%,1475146,2854916,13.33%,121.62%,-6.22%,,2.23%,,-31.69%,,-24.70%,,389790,,,-59484,1.62,0,137.80,2.61,1.26000,9234,27.06,38.89,27.88,-1.82
ABOS,171789000,-1.90%,142370000,29419000,-33.19%,,-4.03%,,241.39%,-45.20%,-46.48%,-11.38%,-37.40%,-34.42%,,-53.98%,-35.48%,-1677525,,2,,,1.02000,171134,39.35,28.72,37.13,-1.71
GBBK,81897,,81897,,,,,,0.13%,185.30%,1.85%,,1.40%,,,1.90%,,,,0,,,11.32000,367,62.45,68.18,70.49,-0.03
QVCGA,905000000,-1.89%,-4661000000,5566000000,,-8.61%,-6.53%,-5.57%,-7308.03%,-57333.30%,-13.24%,-22.21%,-12.30%,-11495.98%,528708,-17.61%,-4.62%,-67952,0.96,6,6.20,0.69,0.15450,1605180,35.34,27.75,29.92,-3.26
EPSM,336078,-20.59%,130477,205601,,,,,0.21%,8.10%,9.65%,,6.50%,,1377406,7.85%,,49933,1.80,3,,27.32,4.62890,53647,0.00,0.00,0.00,0.05
OCG,42935567,,42935567,,5.91%,,,,67.52%,-6.80%,-6.52%,18.44%,-6.50%,30.32%,23613,-7.88%,25.18%,-64132,0.02,1,,15.28,3.29930,9892,75.66,83.37,50.22,-0.62
CRT,1111159,,1111159,,-46.32%,,,,1.69%,358.78%,265.42%,231.81%,251.60%,231.91%,,377.38%,146.90%,,2.43,2,,,10.20000,11698,40.91,45.04,41.28,0.95
CNTX,94429824,-10.22%,94210444,219380,551.98%,,,-60.15%,153.12%,-37.00%,-28.02%,-57.06%,-35.80%,12.40%,,-31.34%,310.96%,-2227092,,2,,,0.67930,94218,46.50,34.36,36.01,-0.46
IFRX,59208184,-10.34%,58306042,902142,-41.64%,-17.48%,-28.12%,-0.99%,96.52%,-60.70%,-72.64%,-50.47%,-51.80%,-41.42%,2334,-85.19%,-36.44%,-648429,0.00,1,0.36,-4.99,0.90000,420493,29.28,31.60,38.11,-0.81
IVVD,69349000,-20.15%,68045000,1304000,-65.72%,,-39.77%,,108.89%,-144.70%,-251.60%,,-99.30%,,253840,-256.93%,,-1699250,0.15,0,,-12.92,0.50500,1834051,34.66,42.14,36.19,-1.43
FKWL,42160072,-5.64%,40614600,1545472,23.66%,35.75%,,2.78%,70.77%,-6.10%,-6.99%,6.12%,-4.30%,9.86%,629614,-9.00%,3.12%,-31852,0.86,3,13.88,3.98,5.12000,15781,38.18,49.17,54.06,-0.19
CCG,20903001,51.42%,16094196,4808804,-50.02%,,19.85%,,26.73%,-17.20%,1.18%,,-5.70%,,749248,-17.02%,,-13210,3.25,1,,0.75,0.77500,112334,40.13,37.77,18.40,-0.11
WFCF,2012000,-3.23%,-534000,2546000,,-8.88%,-9.07%,-7.67%,-0.94%,21.90%,24.60%,11.39%,13.20%,17.98%,249961,12.59%,11.52%,20583,1.60,5,14.39,9.98,11.48000,1766,47.13,43.75,44.48,0.40
INLX,2489236,-6.40%,-1065369,3554605,,-14.50%,-37.10%,-6.25%,-1.77%,-5.30%,-1.45%,-1.95%,-2.90%,-8.70%,117002,-1.22%,-2.00%,-3547,0.96,4,61.60,3.77,14.10000,114,64.29,59.51,70.34,-0.13
DXLG,48417000,1.93%,-136198000,184615000,,8.57%,19.46%,-6.17%,-216.56%,2.00%,1.29%,6.70%,0.80%,-21.96%,322747,0.60%,7.14%,2111,1.23,4,3.19,1.38,1.12000,184699,22.22,22.02,29.56,0.05
VANI,19690000,-8.71%,1725000,17965000,-35.61%,114.83%,-6.98%,47.17%,2.77%,-106.20%,-66.02%,-293.99%,-50.40%,-1924.44%,,-69.37%,-101.66%,-533773,,1,,,1.01000,40888,41.07,38.08,40.86,-0.43
BAYA,,,,,,,,,,,,,,,,,,,,1,,,10.91500,623,68.97,82.40,91.52,-0.21
INCR,5630849,-21.06%,-34339276,39970126,,193.80%,-39.87%,,-59.20%,-13.50%,65.77%,-5.08%,-8.30%,,267877,-2.46%,,-64469,0.35,1,1.45,0.58,1.22000,21259,22.86,34.27,36.12,-0.38
YIBO,52350000,-11.88%,11960000,40390000,76.98%,,-12.08%,,19.30%,15.80%,13.04%,10.45%,5.30%,31.02%,106715,6.70%,5.26%,5067,1.11,3,4.67,2.36,1.10000,9328,36.21,36.86,41.42,0.13
ALTS,7177000,15.83%,-5891000,13068000,,25.31%,1748.37%,22.79%,-9.10%,-36.80%,-20.26%,98.43%,-9.90%,-475.52%,1253200,-22.27%,-20.16%,-624500,0.20,3,,-0.51,3.84000,146948,41.16,47.18,54.89,-0.56
VTGN,88560000,-4.52%,86847000,1713000,-30.13%,-18.30%,-24.03%,-16.33%,147.14%,-48.10%,-57.20%,150.38%,-43.80%,44.48%,17458,-63.79%,-117.28%,-1182610,0.01,1,,-3.45,2.05000,139082,29.92,32.43,34.05,-1.48
TROO,10308000,,10304000,4000,,-73.25%,-99.94%,,19.14%,-2.80%,-2.74%,-20.03%,-2.50%,-20.50%,187842,-2.97%,-16.86%,-90474,0.05,1,,1.87,0.52550,29973,24.29,26.66,38.14,-0.02
PIII,44102000,14.92%,-122061000,166163000,,22.71%,36.27%,,-192.57%,-106.60%,-38.08%,-257.71%,-16.10%,,4167931,-132.45%,,-377358,1.78,3,,0.14,0.16410,287342,44.33,34.80,29.04,-1.08
TOPW,2038221,-22.79%,-2418440,4456661,,,,,-4.36%,-28.50%,43.38%,,3.40%,,2687774,9.40%,,28104,3.26,2,8.73,12.41,2.37000,475136,0.00,0.00,0.00,0.01
CPBI,6638000,65.35%,5135000,1503000,-49.70%,,1.35%,,8.65%,4.60%,,,0.80%,,247280,4.48%,,49453,0.04,4,,,13.89000,14681,25.14,46.26,77.65,2.17
LINK,2950000,-7.53%,1821000,1129000,-56.07%,86.16%,610.06%,38.69%,3.09%,-20.90%,-20.10%,-3.63%,-17.00%,-4.70%,114500,-17.64%,-3.76%,-23373,0.84,1,3.05,8.74,5.97000,3623,43.05,48.11,49.63,-0.24
CTSO,9763884,0.25%,-16676437,26440321,,25.89%,47.39%,10.99%,-28.39%,-138.70%,-55.96%,-44.75%,-42.40%,-77.10%,191368,-44.71%,-36.46%,-111392,0.73,3,3.43,-8.43,0.94000,65169,37.97,45.60,39.94,-0.38
CBAT,65023092,-2.83%,34882566,30140526,51.11%,25.72%,-15.66%,-3.65%,58.06%,9.40%,9.24%,59.46%,4.10%,4.20%,120721,5.11%,4.28%,8059,0.61,6,4.79,0.23,0.65130,148669,30.37,34.68,39.30,0.13
VRA,30366000,-5.77%,-59278000,89644000,,-3.44%,10.67%,-7.88%,-95.53%,-27.90%,-17.03%,-6.92%,-17.60%,-7.56%,215633,-16.09%,-4.68%,-36051,1.05,1,1.62,2.47,2.11000,146311,37.07,22.44,32.16,-2.15
CBUS,14433000,3.41%,-221295000,235728000,,136.25%,24.15%,66.18%,-376.34%,-134.30%,-65.77%,-83.92%,-55.70%,-125.80%,26805,-78.81%,-58.76%,-1581057,0.01,3,,-4.83,1.69000,94679,40.23,32.55,40.47,-10.83
RENB,220571,0.91%,-3600650,3821221,,-19.46%,-16.89%,13.90%,-6.25%,-121.00%,-123.85%,-59.93%,-94.80%,-53.12%,,-123.73%,-44.68%,-4938513,,1,,,0.36260,1952968,27.72,37.45,40.17,-0.89
INO,94113529,-4.66%,82248342,11865187,-28.53%,-28.91%,-60.72%,-34.64%,141.08%,-128.70%,-137.50%,-87.40%,-88.80%,-86.68%,1625,-139.85%,-62.10%,-800404,0.00,1,,-23.07,1.58000,517916,39.47,27.82,35.44,-3.95
CLSD,20020000,5.00%,-32450000,52470000,,326.78%,22.02%,52.27%,-54.86%,,-168.96%,-108.20%,-107.00%,33.56%,52000,-212.13%,-71.70%,-1073500,0.05,2,,-22.90,0.74910,200593,31.26,39.28,40.07,-0.47
ASRT,100054000,-0.07%,61241000,38813000,75.34%,-19.17%,0.78%,-35.63%,115.82%,-16.70%,-10.87%,-29.86%,-7.70%,-28.28%,2154500,-15.46%,-15.10%,-372086,0.45,3,1.03,-2.52,0.60300,388866,35.60,27.94,35.44,-0.23
SSBI,-37712000,412.12%,86136000,35408000,-0.24%,-15.83%,17.14%,49.76%,151.42%,8.28%,1.46%,15.75%,0.75%,14.24%,483698,17.81%,1.23%,76425,0.05,2,,-0.46,8.52000,321,46.33,52.63,39.59,-0.62
RECT,2970084,12.29%,-4542405,7512490,,,33.35%,,-7.74%,13.00%,11.75%,,6.60%,,401582,6.79%,,16602,1.19,5,4.81,4.85,3.98000,3685,45.20,42.71,0.00,0.18
VTVT,36746000,-20.66%,36577000,169000,310.19%,-43.40%,-68.05%,-52.67%,78.95%,-114.50%,-55.52%,75.59%,-40.60%,39.42%,44217,-195.50%,-69.24%,-802696,0.02,1,,-10.33,18.09000,3274,49.13,51.04,43.81,-3.20
FORA,49357888,0.81%,24964233,24393655,2.81%,-0.80%,-1.17%,,42.70%,-9.80%,-6.74%,235.07%,-4.40%,,532695,-12.58%,,-69779,0.34,1,,0.66,1.86000,165790,37.81,42.59,37.31,-0.09
MCHX,12767000,-19.26%,11551000,1216000,-7.64%,-28.02%,-42.10%,-29.86%,19.57%,-14.50%,-13.11%,-29.61%,-11.10%,-24.62%,295227,-13.14%,-18.20%,-30350,1.08,3,,-6.08,1.33000,7856,19.43,33.03,40.84,-0.11
SAVA,128574000,,128574000,,6.14%,,,,221.80%,-16.80%,-16.70%,-45.84%,-12.50%,-27.24%,,-97.08%,-25.00%,-811400,,1,,,1.19000,849693,23.00,27.77,34.67,-1.46
BYFC,61365000,-34.20%,-200777000,262142000,,19.94%,-33.93%,24.01%,-348.33%,0.10%,,-0.02%,,-0.14%,308104,0.36%,,3387,0.02,4,,,6.30000,9596,35.20,38.88,42.96,0.04
HTLM,2580675,-45.98%,-128092,2708767,,,120.02%,,-0.22%,-66.10%,-35.07%,,-21.20%,,102280,-25.35%,,-41638,0.53,2,2.00,4.91,3.91000,467,39.43,43.20,0.00,-0.08
BRIA,5898466,,3766475,2131991,,,,,7.61%,46.00%,31.40%,,13.00%,,287400,45.20%,,16216,2.30,2,6.67,4.15,1.87000,955,30.17,13.90,0.00,0.13
VFF,24631000,-6.02%,-31001000,55632000,,-10.37%,-15.07%,7.89%,-51.39%,-13.00%,-10.44%,-8.20%,-8.50%,-9.64%,240129,-11.63%,-6.46%,-25607,0.80,4,4.39,0.51,0.50820,236500,34.11,27.17,33.77,-0.32
FURY,6640748,-40.37%,6594498,46250,12.33%,-47.95%,-71.49%,-53.31%,11.43%,69.80%,131.36%,-10.18%,66.90%,7.56%,,-13.23%,7.48%,7509583,,1,,,0.37580,9247,43.12,44.28,42.83,0.51
INZY,113398000,0.17%,66525000,46873000,-53.15%,140.47%,0.60%,,121.83%,-115.30%,-108.04%,-56.15%,-68.10%,-72.92%,,-99.36%,-49.06%,-1522746,,2,,,0.88070,268515,39.41,25.26,33.83,-1.62
IOBT,60031000,-5.15%,58116000,1915000,-58.69%,,-23.22%,,102.84%,-115.30%,-195.07%,-60.61%,-96.10%,-52.06%,,-194.52%,-91.20%,-1404279,,1,,,0.85780,127398,40.79,45.14,34.59,-1.45
NUKK,4074,105.54%,-3997998,4002072,,,851.47%,,-6.98%,,130.95%,122.18%,-596.50%,45.84%,492788,,-173.92%,-709877,4.14,3,,-81.14,11.79000,48059,40.83,47.10,38.32,-4.93
ELTK,17238000,-0.36%,11221000,6017000,104.76%,-24.07%,-9.65%,-6.58%,20.02%,10.70%,9.38%,12.73%,7.40%,21.80%,139721,7.71%,10.66%,12685,0.81,5,4.63,3.29,8.39000,6191,38.02,28.14,44.51,0.63
NEUE,93166000,70.15%,-111448000,204614000,,9.70%,-44.75%,,-197.20%,,68.37%,-51.56%,-23.00%,-39.46%,949956,,-29.24%,-188976,1.16,2,,-10.96,6.53000,6255,51.33,51.08,10.66,-22.65
CPIX,17964184,-4.23%,-2608233,20572417,,8.60%,11.63%,-0.88%,-4.73%,-25.50%,-13.41%,-13.54%,-8.30%,-14.48%,416131,-14.81%,-5.78%,-71206,0.49,3,0.41,0.50,4.03000,114942,40.10,55.23,64.47,-0.46
AKYA,35726000,-0.91%,-48420000,84146000,,36.70%,-1.82%,27.73%,-79.02%,-290.60%,-46.87%,-18.68%,-40.00%,-96.74%,398400,-51.49%,-33.56%,-270073,0.59,2,1.52,-2.96,1.13000,147728,32.44,31.98,29.95,-1.12
LOAN,201762,-10.82%,-22346246,22548008,,1.37%,-27.73%,1.58%,-39.71%,12.90%,,10.04%,7.90%,12.42%,1614774,12.02%,7.42%,931823,0.14,5,,,4.92000,28398,30.02,38.02,44.87,0.49
MATH,236715223,660.12%,236409314,305909,297.22%,,-4.86%,,414.87%,34.80%,24.97%,-13.22%,3.80%,-85.94%,1652582,34.48%,-36.02%,327498,0.19,4,,0.29,1.47700,7703,39.82,48.45,52.11,0.17
SPWH,2832000,-11.83%,-452439000,455271000,,9.88%,-5.49%,2.75%,-810.16%,-13.60%,-3.32%,6.08%,-3.60%,18.04%,221784,-2.64%,5.12%,-6122,1.31,4,2.37,1.75,1.47000,474176,53.05,41.01,33.05,-0.87
PYXS,128403000,-1.66%,108203000,20200000,8.81%,396.54%,-5.30%,,178.28%,-49.20%,-56.99%,-25.60%,-39.60%,-17.18%,366955,-63.47%,-54.12%,-1757523,0.08,2,,-2.93,0.90730,327181,40.06,29.19,31.28,-1.32
NHTC,43974000,-9.86%,41333000,2641000,-21.65%,-5.87%,-23.76%,-3.88%,73.87%,1.60%,1.79%,-0.83%,0.90%,1.28%,318244,-3.37%,0.80%,4237,0.71,2,2.96,2.29,4.86000,10927,48.57,44.03,41.86,0.05
JSPR,72054000,-12.37%,70241000,1813000,-16.89%,-14.35%,-34.92%,,126.03%,-79.40%,-110.22%,-64.63%,-68.00%,34.94%,,-120.09%,-53.58%,-1113578,,1,,,3.71000,145368,28.85,28.66,30.43,-4.89
ANRO,168729000,0.02%,152655000,16074000,110.02%,,63.01%,,275.06%,-35.60%,-35.85%,,-31.60%,,,-40.95%,,-808303,,2,,,2.05000,522727,36.31,31.77,14.90,-2.50
CABA,163962000,2.47%,148362000,15600000,-37.20%,,210.88%,,268.24%,-62.00%,-72.88%,-45.00%,-54.70%,-45.32%,,-74.52%,-41.84%,-706488,,1,,,1.09000,634040,30.15,31.83,34.03,-2.34
ADAP,153672000,-0.38%,79463000,74209000,-36.29%,42.83%,194.07%,23.86%,133.08%,-133.30%,-35.21%,-111.72%,-24.80%,-100.24%,351842,-79.90%,-35.28%,-139949,0.62,3,,-5.60,0.21500,602643,32.35,27.22,35.32,-0.30
